statename,year,avg_inventory,yoy_growth_percent
WA,2022,850,10.82%
WA,2023,730,-14.12%
WA,2024,815,11.64%
WA,2025,975,19.63%
WI,2019,923,-2.64%
WI,2020,771,-16.47%
WI,2021,748,-2.98%
WI,2022,648,-13.37%
WI,2023,523,-19.29%
WI,2024,529,1.15%
WI,2025,525,-0.76%
WV,2019,524,-9.50%
WV,2020,437,-16.60%
WV,2021,350,-19.91%
WV,2022,308,-12.00%
WV,2023,244,-20.78%
WV,2024,222,-9.02%
WV,2025,236,6.31%
WY,2019,313,-16.31%
WY,2020,263,-15.97%
WY,2021,201,-23.57%
WY,2022,195,-2.99%
WY,2023,200,2.56%
WY,2024,207,3.50%
WY,2025,232,12.08%
